Collection Date	Strain Name	Latitude	Longitude
05/26/2010	-N/A-	15.22822	100.31565
05/26/2010	-N/A-	15.17572	100.33361
09/15/2010	-N/A-	16.4476	100.23459
09/17/2010	A/duck/Thailand/CU-8319T/2010(H9N7)	15.77286	100.10217
12/15/2010	-N/A-	15.91667	99.92308
01/18/2011	A/duck/Thailand/CU-10507T/2011(H7N4)	15.89668	100.13923
01/18/2011	A/duck/Thailand/CU-10524C/2011(H7N4)	15.89668	100.13923
01/18/2011	A/duck/Thailand/CU-10531T/2011(H7N4)	15.89668	100.13923
06/17/2010	-N/A-	16.74543	100.23202
02/23/2011	-N/A-	16.43194	100.34381
09/22/2011	-N/A-	17.03416	99.97424
12/20/2011	A/duck/Thailand/CU-11834T/2011(H4N6),A/duck/Thailand/CU-11834C/2011(H4N6)	16.14514	99.7657
12/20/2011	A/duck/Thailand/CU-11836C/2011(H1N3),A/duck/Thailand/CU-11836T/2011(H4N6)	16.14514	99.7657
12/20/2011	-N/A-	16.14625	99.77969
12/20/2011	-N/A-	16.25722	99.73561
12/20/2011	-N/A-	16.25722	99.73561
12/20/2011	A/duck/Thailand/CU-11872C/2011(H1N9)	16.25722	99.73561
12/22/2011	-N/A-	16.54948	100.48838
12/22/2011	-N/A-	16.54948	100.48838
12/22/2011	-N/A-	16.54948	100.48838
01/19/2012	-N/A-	15.84771	100.25964
02/08/2012	-N/A-	16.75441	99.97545
02/08/2012	-N/A-	16.75441	99.97545
02/08/2012	-N/A-	16.75441	99.97545
02/28/2012	A/duck/Thailand/CU-12325C/2012(H11N2)	16.48898	100.37708
02/29/2012	-N/A-	16.25377	99.67489
10/19/2012	A/duck/Thailand/CU-12660T/2012(H11N9)	14.506389	100.3075
10/19/2012	A/duck/Thailand/CU-12666C/2012(H4N6)	14.506389	100.3075
10/19/2012	A/duck/Thailand/CU-12678C/2012(H11N6)	14.506389	100.3075
10/19/2012	-N/A-	14.506389	100.3075
03/06/2013	-N/A-	16.827556	100.048528
03/13/2013	-N/A-	16.391944	100.165
08/30/2013	Unknown(HXNX)	14.28135	100.10803
12/23/2013	-N/A-	16.08504	99.80738
12/23/2013	-N/A-	16.30283	99.73878
09/11/2012	-N/A-	14.175278	100.285833
09/11/2012	-N/A-	14.175278	100.285833
09/11/2012	-N/A-	14.175278	100.285833
05/25/2010	-N/A-	15.09296	100.85212
09/15/2010	-N/A-	15.48244	101.90051
11/03/2010	-N/A-	15.90289	100.27693
12/22/2010	-N/A-	15.35428	99.69026
03/09/2011	-N/A-	14.83489	99.70102
03/12/2012	-N/A-	14.31978	99.95289
07/04/2012	-N/A-	17.500917	100.122361
02/04/2014	-N/A-	16.86681	100.18167
08/12/2009	-N/A-	17.045119	100.204897
12/25/2010	-N/A-	14.43519	100.66632
10/20/2010	-N/A-	13.05242	100.56101
11/03/2010	-N/A-	16.74543	100.23202
02/15/2011	-N/A-	13.05242	100.56101
02/15/2011	-N/A-	13.05242	100.56101
03/12/2012	-N/A-	14.31978	99.95289
03/12/2012	-N/A-	14.31978	99.95289
07/04/2012	-N/A-	17.501444	100.119917
09/25/2013	-N/A-	13.90872	102.56153
02/04/2014	-N/A-	16.86681	100.18167
02/04/2014	-N/A-	16.86427	100.18279
11/25/2009	-N/A-	16.745433	100.232019
11/03/2010	-N/A-	16.43194	100.34381
11/03/2010	-N/A-	16.43194	100.34381
11/03/2010	A/duck/Thailand/CU-LM7284C/2010(H7N6)	16.74543	100.23202
09/05/2012	-N/A-	16.70469	100.181567
08/19/2010	-N/A-	16.74543	100.23202
10/07/2010	-N/A-	16.74543	100.23202
10/20/2010	-N/A-	13.05242	100.56101
11/03/2010	A/duck/Thailand/CU-LM7308T/2010(H7N6),A/duck/Thailand/CU-LM7308C/2010(H7N6)	16.74543	100.23202
11/03/2010	-N/A-	15.89732	100.26994
11/16/2010	-N/A-	16.74543	100.23202
11/30/2010	-N/A-	16.43194	100.34381
12/14/2010	-N/A-	16.74543	100.23202
12/14/2010	-N/A-	16.74543	100.23202
12/28/2010	-N/A-	16.43194	100.34381
12/28/2010	-N/A-	16.74543	100.23202
01/11/2011	-N/A-	16.43194	100.34381
01/11/2011	-N/A-	16.43194	100.34381
01/27/2011	-N/A-	16.74543	100.23202
03/17/2011	-N/A-	13.05824	100.49368
