X	Y	T
17.440056	100.140667	4570
16.86681	100.18167	5149
16.002181	100.591661	3498
13.05242	100.56101	3946
16.74543	100.23202	3960
16.74543	100.23202	3960
16.745433	100.232019	3638
16.70469	100.181567	4632
16.74543	100.23202	3857
16.74543	100.23202	3919
16.74543	100.23202	3933
13.05242	100.56101	3941
16.74543	100.23202	3960
16.74543	100.23202	3960
17.31564	99.54588	3959
13.05242	100.56101	3975
13.05242	100.56101	3995
16.74543	100.23202	4001
16.43194	100.34381	4015
16.43194	100.34381	4015
16.43194	100.34381	4029
13.05824	100.49368	4043
16.43194	100.34381	4045
16.43194	100.34381	4045
16.43194	100.34381	4045
16.43194	100.34381	4045
16.43194	100.34381	4045
16.74543	100.23202	4045
13.801369	100.550103	3552
16.745433	100.232019	3589
13.719089	100.561011	3612
13.719089	100.561011	3612
13.719089	100.561011	3612
16.745433	100.232019	3624
15.48329	101.90404	3911
16.0436	100.11051	3912
16.4715	99.87824	3954
16.78477	100.03818	3994
15.95189	100.30928	4009
15.93383	100.14821	4009
15.89668	100.13923	4036
15.89668	100.13923	4036
15.89668	100.13923	4036
15.89668	100.13923	4036
15.89668	100.13923	4036
16.43194	100.34381	4072
16.43194	100.34381	4072
16.43194	100.34381	4072
16.1368	99.73225	4372
16.1368	99.73225	4372
16.14514	99.7657	4372
16.14625	99.77969	4372
16.23261	99.79467	4372
16.25722	99.73561	4372
15.84451	100.26301	4402
16.48898	100.37708	4442
14.515833	100.305833	4676
14.515833	100.305833	4676
14.159222	99.753639	4772
16.055556	99.854722	4807
16.827556	100.048528	4814
13.97783	101.81978	4885
13.97783	101.81978	4885
13.97783	101.81978	4885
14.24985	100.11212	4991
14.24424	100.38176	5002
16.08504	99.80738	5106
16.25734	99.73557	5106
16.62864	100.3122	5142
16.90714	99.94594	5164
15.08724	100.856	3798
15.08724	100.856	3798
15.41171	100.64764	3799
14.54189	101.01361	3815
14.31819	99.56406	3847
14.43522	100.56642	4009
14.43522	100.56642	4009
14.42964	100.55859	4095
13.05242	100.56101	3946
13.05824	100.49368	3995
17.49975	100.1195	4569
17.441889	100.138917	4570
16.09325	100.548833	4708
13.98055	101.82426	4885
16.86427	100.18279	5149
17.045119	100.204897	3512
16.74543	100.23202	3960
16.74543	100.23202	3960
16.74543	100.23202	3960
16.745433	100.232019	3617
16.745433	100.232019	3631
16.745433	100.232019	3638
16.70469	100.181567	4632
13.05242	100.56101	3856
16.74543	100.23202	3884
16.74543	100.23202	3898
16.74543	100.23202	3898
16.74543	100.23202	3933
16.74543	100.23202	3933
15.41171	100.64764	3799
13.05242	100.56101	3833
16.43194	100.34381	3987
16.43194	100.34381	3987
16.43194	100.34381	4029
16.43194	100.34381	4045
16.43194	100.34381	4045
16.74543	100.23202	4058
16.74543	100.23202	4058
13.1347	100.5501	4074
13.05242	100.56101	4094
13.05824	100.49368	4094
16.745433	100.232019	3582
16.745433	100.232019	3589
13.719089	100.561011	3612
13.719089	100.561011	3612
17.353889	100.232778	4563
14.184811	100.293819	3582
15.09556	100.85319	3798
15.22822	100.31565	3799
15.48329	101.90404	3911
17.03416	99.97424	4283
17.00232	99.98272	4283
17.00232	99.98272	4283
16.1368	99.73225	4372
16.1368	99.73225	4372
16.14514	99.7657	4372
16.25722	99.73561	4372
15.84839	100.25933	4402
16.91006	100.1914	4406
16.55738	100.48433	4408
16.68332	99.90711	4422
16.68332	99.90711	4422
16.75441	99.97545	4422
16.48898	100.37708	4442
16.48898	100.37708	4442
14.506389	100.3075	4676
14.515833	100.305833	4676
14.184167	99.783333	4737
14.184167	99.783333	4737
14.130639	99.705611	4772
14.159222	99.753639	4772
16.055556	99.854722	4807
15.973365	99.680409	4807
16.805556	100.154722	4814
16.817694	100.065222	4814
16.827444	100.048611	4821
13.97783	101.81978	4885
14.28135	100.10803	4991
14.02313	100.23733	5019
16.13931	99.77738	5106
16.52393	100.23824	5142
16.52393	100.23824	5142
16.52393	100.23824	5142
16.90714	99.94594	5164
14.175278	100.285833	4638
14.175278	100.285833	4638
14.175278	100.285833	4638
15.366889	99.669589	3241
16.745433	100.232019	3404
15.81952	99.70247	3882
16.3742	100.17846	3883
16.3742	100.17846	3883
16.46929	99.88214	3954
16.47002	99.88017	3954
16.78278	100.03738	3994
14.43522	100.56642	4009
14.83489	99.70102	4086
13.07296	100.51006	3995
13.05824	100.49368	3995
13.05824	100.49368	4025
13.48238	101.17192	4376
14.31978	99.95289	4455
16.74543	100.23202	3960
16.70083	100.18443	4589
16.74543	100.23202	3884
13.05242	100.56101	3903
16.74543	100.23202	3933
16.74543	100.23202	3933
13.05242	100.56101	3946
13.05242	100.56101	3946
16.74543	100.23202	3960
13.05242	100.56101	3966
15.37091	99.69021	4009
16.74543	100.23202	3973
16.43194	100.34381	3987
13.05824	100.49368	3995
16.74543	100.23202	4015
16.74543	100.23202	4029
16.43194	100.34381	4029
16.43194	100.34381	4045
16.43194	100.34381	4045
16.43194	100.34381	4045
16.74543	100.23202	4045
13.05242	100.56101	4064
16.08974	100.19873	4071
13.05242	100.56101	4094
16.91006	100.1914	4406
13.719089	100.561011	3612
13.719089	100.561011	3612
13.719089	100.561011	3612
16.0436	100.11051	3912
